article_id,title,description,content,category,read_flag,like_flag,dislike_flag
57,"Saturday Citations: Sweaty, remarkable humans; ocean level rise projections; closeup of a star in another galaxy - Phys.org","Since we last spoke, researchers at the University of Birmingham have defined the precise shape of a single photon (spoiler: roundish). Economists worry that Trump's grandiose deportation plans could lead to a recession. And astronomers report that the Milky …","Since we last spoke, researchers at the University of Birmingham have defined the precise shape of a single photon (spoiler: roundish). Economists worry that Trump's grandiose deportation plans could… [+4697 chars]","science",0,1,0
58,"Mysterious White Smokers Discovered in the Dead Sea - SciTechDaily","Mineral chimneys found on the Dead Sea floor signal potential sinkhole sites, aiding in hazard prediction and environmental monitoring. A team of researchers led by the Helmholtz Centre for Environmental Research (UFZ) has discovered meter-high chimneys on th…","An individual submarine chimney at a depth of roughly 30 m. Credit: UFZ
Mineral chimneys found on the Dead Sea floor signal potential sinkhole sites, aiding in hazard prediction and environmental mo… [+5097 chars]","science",0,0,0
59,"Broncos could have declined Week 16 Thursday night flex, for one specific reason - NBC Sports","The NFL adopted a flex option for Thursday Night Football in 2023.","The NFL adopted a flex option for Thursday Night Football in 2023. On Friday, the league activated the break-glass option for the first time ever, bumping Browns-Bengals out for Broncos-Chargers.
Wh… [+1629 chars]","sports",1,0,0
60,"College basketball rankings: Tennessee rises to No. 9 in Top 25 And 1 as Chaz Lanier leads win over Baylor - CBS Sports","Lanier had another big outing, finishing with 25 points as the Vols cruised to the victory over the Bears","There are a lot of different reasons why Tennessee secured a No. 2 seed in last season's NCAA Tournament, won 27 times and advanced all the way to the Elite Eight.
(It's never one thing.)
But, unde… [+2797 chars]","sports",0,0,0
61,"Report: Aaron Rodgers wants to play in 2025, but not for the Jets - NBC Sports","The awkward dance continues, as the Jets and Rodgers head toward inevitable divorce.","It could be the next shot in the cold war turned hot between the Jets and quarterback Aaron Rodgers.
Days after reports emerged that Jets owner Woody Johnson suggested benching Rodgers after a Week … [+1142 chars]","sports",0,0,0
62,"Arsenal player ratings vs Nottingham Forest: Title gone? Behave! Bukayo Saka brilliance - and magic from Martin Odegaard - gets Gunners back on track - Goal.com","Arsenal roared back to winning ways in the Premier League with a 3-0 win over Nottingham Forest, closing the gap on leaders Liverpool - here's GOAL's player ratings","The Gunners roared back to winning ways in the Premier League to close the gap on leaders LiverpoolArsenal ended their four-game run without a Premier League win in style as they swept Nottingham For… [+959 chars]","sports",0,0,0
63,"Novak Djokovic hires Andy Murray as new coach - ATP Tour","Novak Djokovic announced on social media Saturday that longtime friend and rival Andy Murray will be his new coach.","No Content","sports",0,0,0
64,"Massive Best Buy Black Friday sale live — here's the 35 deals I'm recommending to family and friends - Tom's Guide","The top Best Buy deals to kick start savings season","Best Buy's official Black Friday sale went live this week — and the deals and doorbusters do not disappoint! From now through actual Black Friday (November 29), you can expect the latest and greatest… [+888 chars]","technology",0,1,0
65,"World Of Warcraft At 20 Is The Same And Increasingly Unrecognizable, And That's By Design - GameSpot","Blizzard looks back on two decades of its genre-defining MMORPG, and talks how it's already planning for the next 20 years.","World of Warcraft is celebrating its 20-year anniversary today, November 23, 2024. Below, we talk with key developers about the journey to make the game what it is today, and the future ahead.
Two d… [+7152 chars]","technology",0,0,0
66,"What’s on your desk, Kylie Robison? - The Verge","The Verge’s senior reporter covering artificial intelligence (AI) has a workspace decorated with family photos and gaming figures.","Kylie Robison is The Verges senior reporter covering artificial intelligence. Previously, she worked at Fortune, where she covered Twitter; before that, she covered software developer culture (a beat… [+4068 chars]","technology",0,0,0
67,"The iMac M4 wasn’t built for this world - The Verge","The M4 iMac is a beautiful object and a good computer, and it’s still the only Mac that comes in actual colors. But otherwise, it’s the same machine as it was in 2023, and it’s substantially the same as it was back in 2021. So who is the M4 iMac for, exactly?","Still beautiful. Still good. Still the wrong form factor for basically everybody.
ByNathan Edwards, a senior reviews editor who's been testing tech since 2007. Previously at Wirecutter and MaximumPC… [+12093 chars]","technology",0,0,0
68,"Google Play Store Warning—Do Not Install These Free Apps - Forbes","You should delete these apps from your phone—here’s what you need to know.","New warning for millions of Play Store users.
NurPhoto via Getty Images
Google is on a mission to enhance security for Android users, narrowing the infamous gap to Apples more secure, more private … [+6196 chars]","technology",0,0,0
69,"Lake effect snow impacts areas west of Rochester this weekend - 13WHAM-TV","Rochester, NY (WHAM) - Lake effect snow will kick into gear over the upcoming weekend. But this time, the focus will remain away from the immediate Rochester ar","Rochester, NY (WHAM) - Lake effect snow will kick into gear over the upcoming weekend. But this time, the focus will remain away from the immediate Rochester area. But if you'll be travelling south o… [+1826 chars]","Uncategorized",0,0,0
70,"Teacher dies of rabies after bat bite - KSBW Monterey","A teacher working in Central California contracted rabies after a bat bite in her classroom.","SALINAS, Calif. —An art teacher at Bryant Middle School in southern Merced County, died last week of rabies.
It's presumed Leah Seneng got rabies from a bat that had entered her classroom.
Seneng t… [+381 chars]","Uncategorized",0,0,0
71,"College Football Playoff Rankings: Oregon holds on top, Georgia rejoins top five, Alabama in projected field - CBS Sports","The fifth top 25 rankings of the 2024 season have arrived from the CFP Selection Committee","The fifth and penultimate edition of the College Football Playoff Rankings were released Tuesday night with undefeated Oregon maintaining its spot at No. 1 as has been the case in every set of rankin… [+5220 chars]","Uncategorized",0,0,0
73,"Trump’s pick for DEA administrator withdraws from consideration - CNN","Chad Chronister, a Florida sheriff, has withdrawn from consideration as President-elect Donald Trump’s pick to lead the Drug Enforcement Administration, he announced on Tuesday.","Chad Chronister, a Florida sheriff, has withdrawn from consideration as President-elect Donald Trumps pick to lead the Drug Enforcement Administration, he announced on Tuesday.
Over the past several… [+2215 chars]","Uncategorized",0,0,0
74,"Tim Cook Wants Apple to Literally Save Your Life - WIRED","Much as the CEO seems awestruck by AI and his just-released Apple Intelligence, he’s more convinced that the tech giant’s health apps will define the company’s legacy.","Every time I visit the Apple Park campus, my mind flashes to a tour I took months before construction was finished, when there was dust on the terrazzo floors and mud where lush vegetation now flouri… [+4125 chars]","Uncategorized",0,0,0
75,"College Football Playoff Rankings reaction: SEC love prevails again as Alabama sits ahead of Miami in top 25 - CBS Sports","Stop me if you've heard this one before: Alabama is ranked ahead of an ACC team with fewer losses","The ACC branding issues struck again. And the SEC again got the benefit of the doubt.
Same as it ever was, right?
That was the sentiment emanating from ACC Country Tuesday after the College Footbal… [+5796 chars]","Uncategorized",0,0,0
76,"Trump's plan for Ukraine comes into focus: Territorial concessions but NATO off the table - Reuters","Advisers to Donald Trump publicly and privately are floating proposals to end the Ukraine war that would cede large parts of the country to Russia for the foreseeable future.","No content available","Uncategorized",0,0,0
