id,source_name,author,title,description,url,urlToImage,publishedAt,content,category
"41","Financial Times","Stefania Palma, Alex Rogers","Elon Musk backs Howard Lutnick as agent for ‘change’ at US Treasury - Financial Times","Tesla boss publicly lobbies Trump to choose Cantor Fitzgerald boss over Scott Bessent in key economic role","https://www.ft.com/content/ce143f05-aaa1-4aad-8ed7-0d6321753d10","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Feee698eb-3f88-4aa7-b763-941b774ef86f.jpg?source=next-barrier-page","2024-11-16 19:23:42","The new FT Digital Edition: todays FT, cover to cover on any device. This subscription does not include access to ft.com or the FT App.
<ul><li></li>Global news &amp; analysis<li></li>Expert opinion… [+2640 chars]","general"
"42","Politico","Adam Cancryn","Biden’s White House stares down a Trump takeover - POLITICO","The White House rushes to get Ukraine and CHIPs funding out the door but faces limits on "Trump-proofing."","https://www.politico.com/news/2024/11/16/biden-trump-legacy-proof-00189936","https://static.politico.com/9c/dc/de81d1834fa78b6f10e95c62ffba/biden-trump-46398.jpg","2024-11-16 19:00:00","The final flurry of work has provided a renewed sense of purpose within a White House unmoored by Donald Trumps pending return to power, according to interviews with more than a half-dozen administra… [+6331 chars]","general"
"43","Associated Press","BRENDAN FARRINGTON","Betty White Forever: New stamp will honor the much-beloved ‘Golden Girls’ actor - The Associated Press","The United States Postal Service might have found a way to unite a nation bitterly divided after this month’s election: It’s releasing a Betty White stamp. The beloved actor known for roles in “The Golden Girls,” “The Mary Tyler Moore Show,” “Boston Legal,” a…","https://apnews.com/articleAPI/betty-white-usps-entertainment-e502f94c15a0594125776f16328bec37","https://dims.apnews.com/dims4/default/82628b2/2147483647/strip/true/crop/2293x1290+0+119/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F8b%2F20%2F63b513e4da2bd1d0f593e67bf165%2F1b21962515374a8abc0bb44df8780c1d","2024-11-16 18:05:00","The United States Postal Service might have found a way to unite a nation bitterly divided after this months election: Its releasing a Betty White stamp.
The beloved actor known for roles in The Gol… [+1690 chars]","entertainment"
"44","The Washington Post","Frances Vinall","South Africa denies illegal miners food and water to force them out - The Washington Post","Officials are blocking access to basic supplies for hundreds of people underground in a northwest mine shaft as part of a crackdown on miners.","https://www.washingtonpost.com/world/2024/11/16/south-africa-illegal-miners-stilfontein/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/TMTBBFGZRGU7KZG5UPSTEBI7Y4_size-normalized.jpg&w=1440","2024-11-16 18:29:27","South African authorities have been criticized over a controversial tactic to force illegal miners hiding more than a mile underground in the countrys northwest to the surface by cutting off their ac… [+5942 chars]","general"
"45","Associated Press","MIKE STOBBE","US health officials report 1st case of new form of mpox in a traveler - The Associated Press","Health officials say they have confirmed the first U.S. case of a new form of mpox that was first seen in eastern Congo. Authorities said Saturday the risk to the public is low. The person had traveled to eastern Africa and was treated in California. Official…","https://apnews.com/articleAPI/mpox-first-us-traveler-case-6e2ee003f53b7dc1d2e33ec16ba7c628","https://dims.apnews.com/dims4/default/0049230/2147483647/strip/true/crop/2577x1450+0+134/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fe7%2F56%2F88fc7125036be62e9952473eedd6%2Fc484b00fc22349d3929a5a6899dba3cb","2024-11-16 18:24:00","NEW YORK (AP) Health officials said Saturday they have confirmed the first U.S. case of a new form of mpox that was first seen in eastern Congo.
The person had traveled to eastern Africa and was tr… [+2559 chars]","general"
"46","Associated Press","BISWAJEET BANERJEE","Fire engulfs hospital ward in northern India, killing 10 newborn babies - The Associated Press","A fire tore through a neonatal intensive care unit in a hospital in northern India, killing 10 newborn babies and injuring 16 others. The fire occurred late Friday at a hospital in Jhansi city in India’s Uttar Pradesh state. Officials said the blaze spread qu…","https://apnews.com/articleAPI/india-jhansi-hospital-fire-newborns-c2236ba37d12e4f5353df5ebb68171e2","https://dims.apnews.com/dims4/default/abcc843/2147483647/strip/true/crop/2016x1134+0+105/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F61%2Fae%2F5060fc0773ed5548e4a710e90d61%2Fe164bddb88454fc481800f3d5f67da53","2024-11-16 17:50:00","LUCKNOW, India (AP) A fire tore through a neonatal intensive care unit in a hospital in northern India, killing 10 newborn babies and injuring 16 others, authorities said.
The fire occurred late Fri… [+2691 chars]","general"
"47","Neurosciencenews.com","Neuroscience News","How Depression Alters Stress, Health, and Lifespan - Neuroscience News","Depression disrupts the body's stress systems, causing physical health risks like heart disease, diabetes, and stroke, and reducing life expectancy by 7-10 years.","https://neurosciencenews.com/depression-stress-longevity-28066/","https://neurosciencenews.com/files/2024/11/depression-stress-lifespan-neuroscience.jpg","2024-11-16 19:44:22","Summary: Depression disrupts the body’s stress systems, causing physical health risks like heart disease, diabetes, and stroke, and reducing life expectancy by 7-10 years. The condition triggers brai… [+4164 chars]","health"
"48","Associated Press","MIKE STOBBE","US health officials report 1st case of new form of mpox in a traveler - The Associated Press","Health officials say they have confirmed the first U.S. case of a new form of mpox that was first seen in eastern Congo. Authorities said Saturday the risk to the public is low. The person had traveled to eastern Africa and was treated in California. Official…","https://apnews.com/articleAPI/mpox-first-us-traveler-case-6e2ee003f53b7dc1d2e33ec16ba7c628","https://dims.apnews.com/dims4/default/0049230/2147483647/strip/true/crop/2577x1450+0+134/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fe7%2F56%2F88fc7125036be62e9952473eedd6%2Fc484b00fc22349d3929a5a6899dba3cb","2024-11-16 18:24:00","NEW YORK (AP) Health officials said Saturday they have confirmed the first U.S. case of a new form of mpox that was first seen in eastern Congo.
The person had traveled to eastern Africa and was tr… [+2559 chars]","health"
"49","[Removed]","Unknown Author","[Removed]","[Removed]","https://removed.com","","2024-11-16 15:44:55","[Removed]","health"
"50","Slate Magazine","Molly Mulshine","I Had a Simple Rule for My Kid. I Now Realize What a Hypocrite I Am. - Slate","I was worried about my daughter becoming a device addict—but I might have been the biggest one of all.","https://slate.com/technology/2024/11/ipad-kid-parenting-banning-screen-time-tech-addiction-social-media.html","https://compote.slate.com/images/06eac979-bc74-4ced-8689-f1d5aa7c549c.jpeg?crop=1560%2C1040%2Cx0%2Cy0&width=1560","2024-11-16 15:00:00","I never give my 1-year-old my phone. Im determined to raise a kid who doesnt spend all their downtime on a device. So imagine my surprise when she recently got ahold of mine and started scrolling and… [+9516 chars]","health"
"51","[Removed]","Unknown Author","[Removed]","[Removed]","https://removed.com","","2024-11-16 17:12:00","[Removed]","science"
"52","CNN","Katie Hunt","NASA’s only visit to Uranus happened during a rare cosmic occurrence - CNN","This week, revisit what you know about Uranus, explore the far side of the moon, rediscover the famed fossil known as Lucy, and meet an otherworldly sea creature.","https://www.cnn.com/2024/11/16/science/the-only-visit-to-uranus-happened-during-a-rare-cosmic-occurrance/index.html","https://media.cnn.com/api/v1/images/stellar/prod/c-jpegpia26069.jpg?c=16x9&q=w_800,c_fill","2024-11-16 16:00:00","Editors note: A version of this story appeared in CNNs Wonder Theory science newsletter. To get it in your inbox, sign up for free here.
The answers to the biggest questions in space science what ha… [+5325 chars]","science"
"53","Space.com","Tariq Malik","Last supermoon of 2024 wows skywatchers around the world with Full Beaver Moon (photos) - Space.com","The Full Beaver Moon of November 2024 put on a gorgeous show in the night sky for photographers worldwide, and we've got the photos to prove it.","https://www.space.com/stargazing/last-supermoon-of-2024-wows-skywatchers-around-the-world-with-full-beaver-moon-photos","https://cdn.mos.cms.futurecdn.net/d3jYiBo2WFRQBzt9oBncKd-1200-80.jpg","2024-11-16 15:59:00","The final supermoon of 2024, the Beaver Moon of November, thrilled skywatchers around the world as it ushered in the weekend with a stunning night sky sight.
November's full moon rose on Friday (Nov… [+6973 chars]","science"
"54","The Daily Galaxy --Great Discoveries Channel","Unknown Author","Scientists Brought Pig Brains Back to Life After Cardiac Arrest With this Organ—And It's Not What You Think - The Daily Galaxy --Great Discoveries Channel","What if death wasn’t the end for the brain? In a stunning experiment, scientists revived pig brains after death—using a surprising ally. Could this discovery rewrite the rules of life and death?","https://dailygalaxy.com/2024/11/scientists-brought-pig-brains-back-to-life-after-cardiac-arrest-with-this-organ-and-its-not-what-you-think/","https://dailygalaxy.com/wp-content/uploads/2024/11/a-picture-of-multiple-pigs.jpg","2024-11-16 17:01:51","Chinese researchers have succeeded in partially restoring the brain function of pigs an hour after their death, thanks to the unexpected help of their liver. This study could change the way scientist… [+2372 chars]","health"
"55","Futurism","Victor Tangermann","Scientist Says NASA Lander May Have Accidentally Killed Life on Mars - Yahoo! Voices","Astrobiologist Dirk Schulze-Makuch from the Technische Universität Berlin in Germany believes that humans may have unintentionally killed all life on Mars in...","https://futurism.com/scientist-nasa-lander-killed-life-mars","https://media.zenfs.com/en/futurism_981/0fe4a4061b39d2b417cd5bdf680781a5","2024-11-16 15:00:33","Yahoo is using AI to generate takeaways from this articleAPI. This means the info may not always match what's in the articleAPI. Reporting mistakes helps us improve the experience.Generate Key Takeaways
A… [+3148 chars]","science"
"56","Live Science","Kelly Lambert","Neuroscientists taught rats to drive tiny cars. They took them out on 'joy rides.' - Livescience.com","Scientists taught rats to drive to a certain destination, but the rodents took a detour, suggesting they enjoy both the journey and the rewarding destination.","https://www.livescience.com/health/neuroscience/neuroscientists-taught-rats-to-drive-tiny-cars-they-took-them-out-on-joy-rides","https://cdn.mos.cms.futurecdn.net/TGcUSkzvo745qGbFNpve8m-1200-80.jpg","2024-11-16 14:00:00","We crafted our first rodent car from a plastic cereal container. After trial and error, my colleagues and I found that rats could learn to drive forward by grasping a small wire that acted like a gas… [+9329 chars]","science"
"57","Packers.com","Unknown Author","Packers sign CB Robert Rochell to active roster - Packers.com","Green Bay places T/G Jordan Morgan on injured reserve","https://www.packers.com/news/packers-sign-cb-robert-rochell-to-active-roster-week-11-2024","https://static.clubs.nfl.com/image/upload/t_editorial_landscape_12_desktop/packers/ayadgfphfy3vg4ivtuls","2024-11-16 19:10:04","No Content","sports"
"58","NBCSports.com","Michael David Smith","Patriots activate Christian Barmore for Sunday vs. Rams - NBC Sports","Patriots defensive lineman Christian Barmore is ready to make his 2024 debut on Sunday against the Rams.","https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/patriots-activate-christian-barmore-for-sunday-vs-rams","https://nbcsports.brightspotcdn.com/dims4/default/222e2e9/2147483647/strip/true/crop/8157x4588+0+0/resize/1440x810!/quality/90/?url=https%3A%2F%2Fnbc-sports-production-nbc-sports.s3.us-east-1.amazonaws.com%2Fbrightspot%2F6f%2Ff6%2Fc71ce1f84a2893df2f44b61f66d1%2Fhttps-delivery-gettyimages.com%2Fdownloads%2F1847655449","2024-11-16 17:20:03","Patriots defensive lineman Christian Barmore is ready to make his 2024 debut on Sunday against the Rams.
The Patriots are activating Barmore from the non-football illness list, according to Ian Rapo… [+325 chars]","sports"
"59","CBS Sports","","MLB rumors: Juan Soto meets with another AL East rival, Orioles looking beyond Corbin Burnes - CBS Sports","Here are your hot stove rumors for Saturday, Nov. 16","https://www.cbssports.com/mlb/news/mlb-rumors-juan-soto-meets-with-another-al-east-rival-orioles-looking-beyond-corbin-burnes/","https://sportshub.cbsistatic.com/i/r/2024/11/16/2e3d3d80-5794-4b34-a759-8e6f73c5bbf8/thumbnail/1200x675/20f61203d0dc9565302516bc673b67b5/juan-soto-yankees-g.jpg","2024-11-16 17:04:27","The 2024-25 Major League Baseball offseason has begun, and that means an almost daily supply of rumors regarding free agency, trades, and the like. With the General Managers' Meetings ongoing, this w… [+2733 chars]","sports"
"60","TigerNet","","Several Clemson starters out against Pittsburgh - Clemson Football News - TigerNet","Next man up for the Tigers. Clemson's travel roster showed that left tackle Tristan Leigh (ankle) and left guard Marcus Tate did not make the trip for the Tiger","https://www.tigernet.com/clemson-football/news/several-clemson-starters-out-against-pittsburgh-45069","https://2cic.b-cdn.net/t/stories/24/football/wade_street.jpg","2024-11-16 15:39:17","Next man up for the Tigers.
Clemson's travel roster showed that left tackle Tristan Leigh (ankle) and left guard Marcus Tate did not make the trip for the Tigers for Saturday's ACC showdown against … [+849 chars]","sports"
"61","profootballrumors.com","Unknown Author","Patriots Cut WR Tyquan Thornton - profootballrumors.com","As one of only three squads to carry seven wide receivers for much of the campaign, the Patriots are finally &hellip;","https://www.profootballrumors.com/2024/11/patriots-cut-wr-tyquan-thornton","https://cdn.profootballrumors.com/files/2023/08/USATSI_21231245-1024x683.jpg","2024-11-16 15:24:00","As one of only three squads to carry seven wide receivers for much of the campaign, the Patriots are finally clearing some of their depth. The team has cut wideout Tyquan Thornton, according to ESPN’… [+1383 chars]","sports"
"62","Thegamepost.com","Unknown Author","Destiny 1 Remastered On The Horizon? Bungie Acknowledges Fan Demand - TheGamePost","With Destiny 1 getting a permanent price drop, fans are calling for a remastered version of the original game. And now, Bungie has acknowledged the demand.","https://thegamepost.com/destiny-1-remastered-bungie-fan-demand/","https://thegamepost.com/wp-content/uploads/2024/11/destiny-1-remastered-bungie-fan-demand-1.webp","2024-11-16 19:42:18","With Destiny 1 getting a permanent price drop, fans are calling for an updated version of the original game. And now, Bungie has acknowledged the demand.
It’s been over a decade since the launch of … [+2906 chars]","technology"
"63","Wccftech","Muhammad Zuhair","NVIDIA GeForce RTX 50 “Blackwell” GPUs To Make “Serious” Impacts In PC Gaming Segment, Witnessing Massive Anticipation By Suppliers - Wccftech","NVIDIA's RTX 50 Blackwell GPUs are expected to make a serious impact over the markets, as suppliers start preparing for the new release.","https://wccftech.com/nvidia-geforce-rtx-50-blackwell-gpus-make-serious-impacts-in-pc-gaming-segment/","https://cdn.wccftech.com/wp-content/uploads/2024/07/NVIDIA-RTX-50-GPU-_2.jpg","2024-11-16 19:00:00","NVIDIA's GeForce RTX 50 "Blackwell" consumer GPUs are expected to seriously impact the markets as suppliers start preparing for the new release.
Team Green's next-gen gaming GPUs might be one of the… [+2549 chars]","technology"
"64","[Removed]","Unknown Author","[Removed]","[Removed]","https://removed.com","","2024-11-16 17:43:16","[Removed]","technology"
"65","Newser","John Johnson","In Poker World, They Call What He Did 'the Run' - Newser","Legend has it that Archie Karas turned $50 into $50M, then lost it","https://www.newser.com/story/359160/in-poker-world-they-call-what-he-did-the-run.html","https://img1-azrcdn.newser.com/image/1572910-12-20241116103152.jpeg","2024-11-16 16:01:13","Not every poker player makes headlines upon his death, but Archie Karas was no ordinary poker player. As PokerNews recounts, Karas drove to Vegas with $50 to his name in late 1992 and went on a strea… [+1162 chars]","technology"
"66","Push Square","Liam Croft","PS5 Consoles, Controllers, and PSVR2 Discounts for Black Friday Seemingly Revealed - Push Square","Not official prices, but as good as","https://www.pushsquare.com/news/2024/11/ps5-consoles-controllers-and-psvr2-discounts-for-black-friday-seemingly-revealed","https://images.pushsquare.com/eb4e3091d9348/1280x720.jpg","2024-11-16 14:15:00","Update: A second Billbil-Kun report has this weekend detailed the sort of discounts Sony is expected to make available across its range of PS5 DualSense controllers for Black Friday, including the Du… [+1811 chars]","technology"
